State,Indiana,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
IN,Christian/Christmas,7,7.H.2,"Describe, compare, and contrast the historical origins, central beliefs, and spread of major religions. (E)","Examples: Hinduism, Buddhism, Sikhism, Judaism, Christianity, and Islam."
IN,Muslim/Islam/Ramadan,6,6.H.2,"Describe and compare the beliefs, the spread,and the influence of religion throughout Europe and Mesoamerica.","Examples: Judaism, Christianity, Islam, native practices in Mesoamerica And Europe."
IN,Muslim/Islam/Ramadan,6,6.H.4,"Analyze the diverse points of view and interests of those involved in the Crusades, and give examples of the changes brought about by the Crusades","Examples: increased contact between European and non-European Peoples, impacto JewsandMuslimsinEuropeandthe MiddleEast,changes in technology,andcentralizationofpoliticalandmilitarypower."
IN,Muslim/Islam/Ramadan,7,7.H.2,"Describe, compare, and contrast the historical origins, central beliefs, and spread of major religions. (E)","Examples: Hinduism, Buddhism, Sikhism, Judaism, Christianity, and Islam."
IN,Muslim/Islam/Ramadan,7,7.H.5,"Explain the influence of Muslim civilization on the growth of cities, the development of trade routes, political organizations, scientific and cultural contributions, and the basis for the early banking system to other cultures of the time. (E)",
IN,Jew/Judaism/Hanukkah/Holocaust,6,6.H.2,"Describe and compare the beliefs, the spread,and the influence of religion throughout Europe and Mesoamerica. Examples: Judaism, Christianity, Islam, native practices in Mesoamerica And Europe.",
IN,Jew/Judaism/Hanukkah/Holocaust,6,6.H.4,"Analyze the diverse points of view and interests of those involved in the Crusades, and give examples of the changes brought about by the Crusades","Examples: increased contact between European and non-European Peoples, impact of Jews and Muslims in Europe and the Middle East,changes in technology, and centralization of political and military power."
IN,Jew/Judaism/Hanukkah/Holocaust,7,7.H.2,"Describe, compare, and contrast the historical origins, central beliefs, and spread of major religions. (E)","Examples: Hinduism, Buddhism, Sikhism, Judaism, Christianity, and Islam."
IN,Hindu,7,7.H.2,"Describe, compare, and contrast the historical origins, central beliefs, and spread of major religions. (E)","Examples: Hinduism, Buddhism, Sikhism, Judaism, Christianity, and Islam."
IN,Buddhism,7,7.H.2,"Describe, compare, and contrast the historical origins, central beliefs, and spread of major religions. (E)","Examples: Hinduism, Buddhism, Sikhism, Judaism, Christianity, and Islam."
IN,Sikh,7,7.H.2,"Describe, compare, and contrast the historical origins, central beliefs, and spread of major religions. (E)","Examples: Hinduism, Buddhism, Sikhism, Judaism, Christianity, and Islam."
IN,Mormon,NA,,,
IN,Kwanzaa,NA,,,
IN,Genocide,NA,,,
IN,Persecution,NA,,,
IN,Church,6,6.H.9,Describe the Reformations and their effect son European and American society.,"Examples: Missionary Activities, the rise of Calvinism and Lutheranism, Henry VIII sbreakwithParliamentandtheCatholicChurch, the principle of separation of church and state, Papal reform, and Council of Trent."
IN,Mosque,N/a,,,
IN,Temple,N/a,,,
IN,Synagogue,N/a,,,
IN,Pilgrim/pilgrimage,N/a,,,
IN,Mission/Missionary/missionaries,N/a,,,
IN,shaman,N/a,,,
IN,god,6,6.H.9,Describe the Reformations and their effect son European and American society.,"Examples: Missionary Activities, the rise of Calvinism and Lutheranism, Henry VIII sbreakwithParliamentandtheCatholicChurch, the principle of separation of church and state, Papal reform, and Council of Trent."
IN,Protestant,NA,,,
IN,Theocratic,NA,,,
IN,Antisemitism,NA,,,
IN,Israelite & Hebrew,NA,,,
IN,Confucian/Confucianism/Confucius,7,7.1.8,"Describe the dynastic cycle and the cultural and technological contributions of major Chinese dynasties (Zhou, Qin, Han, Tang, Song, and Ming).","Examples: Zhou - established Feudalism leading to Warring States Period, Mandate of Heaven, start of Confucianism, Daoism, and Legalism; Qin - China , Terracotta Army, Great Wall; Han - Silk Road starts, paper & compass, merit-based jobs; Tang - gunpowder, woodblock printing, clocks & porcelain; Song - paper money, moveable type; Ming - international trade/isolation, porcelain arts"
IN,Jain/Jainism,NA,,,
IN,Tao/Taoism/Dao/Danish/Lao Tzu/Laozi,NA,,,
IN,Shinto/Shintoism,NA,,,
IN,Zoroastrianism,NA,,,
IN,Bahai/Baha 'i,NA,,,
