Kansas,,,
Keyword,Grade/Area,Part of Document,
Christian/Christmas,Geography,"Ideas: democracies, monarchies, dictatorships, oligarchies, military states, command economy, market economy, mixed market economy, communism, socialism, impact of religion on development, Buddhism, Christianity, Hinduism, Islam, Judaism, Sikhism, etc.",
Christian/Christmas,Ancient/ World History,European Civilization overview,Students will recognize the influence of the Christian church on the small kingdoms of Europe after the fall of the Roman Empire.
Christian/Christmas,Ancient/ World History,European Civilization overview,Why did people choose to fight in the Crusades?
Christian/Christmas,Ancient/ World History,European Civilization overview,What did the Crusades have to do with perceived rights and responsibilities?
Muslim/Islam/Ramadan,Ancient/ World History,,Sample compelling q: How did the rapid rise of Islam impact the existing religions in the region into which it spread?
Muslim/Islam/Ramadan,Ancient/ World History,Early River Civilizations,"Direct-democracy, representative-democracy, theocracy, monarchy, oligarchy, Trans-Saharan caravan routes, Silk Road, Judaism, Christianity, Islam, Caliphate, Islamic Golden Age, Abbasid Empire, Ibn Battuta"
Muslim/Islam/Ramadan,Ancient/ World History,Civilizations and Societies of the Mediterranean and Middle East,"Direct-democracy, representative-democracy, theocracy, monarchy, oligarchy, Trans-Saharan caravan routes, Silk Road, Judaism, Christianity, Islam, Caliphate, Islamic Golden Age, Abbasid Empire, Ibn Battuta"
Muslim/Islam/Ramadan,Geography,"Ideas: democracies, monarchies, dictatorships, oligarchies, military states, command economy, market economy, mixed market economy, communism, socialism, impact of religion on development, Buddhism, Christianity, Hinduism, Islam, Judaism, Sikhism, etc.",
Jew/Judaism/Hanukah/Holocaust,Ancient/ World History,Early River Civilizations,"Direct-democracy, representative-democracy, theocracy, monarchy, oligarchy, Trans-Saharan caravan routes, Silk Road, Judaism, Christianity, Islam, Caliphate, Islamic Golden Age, Abbasid Empire, Ibn Battuta"
Jew/Judaism/Hanukah/Holocaust,Ancient/ World History,Civilizations and Societies of the Mediterranean and Middle East,"Direct-democracy, representative-democracy, theocracy, monarchy, oligarchy, Trans-Saharan caravan routes, Silk Road, Judaism, Christianity, Islam, Caliphate, Islamic Golden Age, Abbasid Empire, Ibn Battuta"
Jew/Judaism/Hanukah/Holocaust,Geography,"Ideas: democracies, monarchies, dictatorships, oligarchies, military states, command economy, market economy, mixed market economy, communism, socialism, impact of religion on development, Buddhism, Christianity, Hinduism, Islam, Judaism, Sikhism, etc.",
Jew/Judaism/Hanukah/Holocaust,Geography,"Government, Economics, Religion","democracies, monarchies, dictatorships, oligarchies, military states, command economy, market economy, mixed market economy, communism, socialism, impact of religion on development, Buddhism, Christianity, Hinduism, Islam, Judaism, Sikhism, etc."
Hindu,Geography,"Government, Economics, Religion","Ideas: democracies, monarchies, dictatorships, oligarchies, military states, command economy, market economy, mixed market economy, communism, socialism, impact of religion on development, Buddhism, Christianity, Hinduism, Islam, Judaism, Sikhism, etc."
Hindu,Ancient/ World History,Early River Civilizations,"Ideas: writing, agriculture, religion, conflict & conquest, polytheism, monotheism, Judaism, Islam, Hinduism, Confucianism, Buddhism, government, codifying laws (Hammurabi s Code), caste system, Mandate of Heaven, Right of Kings"
Buddhism,Geography,Early River Civilizations,"Ideas: democracies, monarchies, dictatorships, oligarchies, military states, command economy, market economy, mixed market economy, communism, socialism, impact of religion on development, Buddhism, Christianity, Hinduism, Islam, Judaism, Sikhism, etc."
Sikh,Geography,"Government, Economics, Religion","Ideas: democracies, monarchies, dictatorships, oligarchies, military states, command economy, market economy, mixed market economy, communism, socialism, impact of religion on development, Buddhism, Christianity, Hinduism, Islam, Judaism, Sikhism, etc."
Mormon,N/a,,
Kwanzaa,N/a,,
Genocide,N/a,,
Persecution,N/a,,
Church,Ancient/ World History,European Civilizations,Sample compelling qs: What difference does it make what church you belong to?
Church,Ancient/ World History,European Civilization overview,Students will recognize the influence of the Christian church on the small kingdoms of Europe after the fall of the Roman Empire.
Mosque,N/a,,
Temple,N/a,,
Synagogue,N/a,,
Pilgrim/pilgrimage,N/a,,
Mission/Missionary/missionaries,Ancient/ World History,European Civilizations,"Ideas: Ideas: Great Schism, feudalism, chivalry, crusades, missionaries, parliament, plagues, Charlemagne, Magna Carta"
shaman,N/a,,
god,N/a,,
Protestant,N/a,,
Theocratic,,,
Antisemitism,,,
Israelite & Hebrew,,,
Confucian/Confucianism/Confucius,,,
Jain/Jainism,,,
Tao/Taoism/Dao/Danish/Lao Tzu/Laozi,,,
Shinto/Shintoism,,,
Zoroastrianism,,,
Bahai/Baha 'i,,,
