State,Massachusetts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
MA,Kwanzaa,NA,,,
MA,Genocide,NA,,,
MA,Persecution,NA,,,
MA,Church,NA,,,
MA,Mosque,NA,,,
MA,Temple,NA,,,
MA,Synagogue,NA,,,
MA,Pilgrim/pilgrimage,NA,,,
MA,Mission/Missionary/missionaries,NA,,,
MA,shaman,NA,,,
MA,god,6,"Topic 3: Western Asia, the Middle East and North Africa: Mesopotamia, c. 3500 1200 BCE [6.T3b]",Analyze the important characteristics and achievements of early Mesopotamia.,
MA,god,6,"Topic 3: Ancient Egypt, c. 3000 1200 BCE [6.T3c]","Analyze the role of the pharaoh as god/king, and describe how pharaohs were represented in painting and sculpture, the concept of dynasties, and significant acts of at least one pharaoh or queen (e.g., Khufu, Akhnaten, Ramses II, Nefertiti, Cleopatra).",
MA,god,6,"Topic 3: Ancient Israel, Palestine, c. 2000 BCE 70 CE [6.T3e]",Describe the history of ancient Israel and early Christianity:,
MA,god,6,"Topic 4: Ancient and Classical Greece, c. 1200 300 BCE [7.T4b]","Give examples of Greek gods and goddesses, heroes, and events; explain the persistence of terms from Greek and Roman mythology in modern English and other European languages (e.g., Pandora s box, a Herculean task, the wrath of Achilles, Amazon, Olympics, marathon, narcissism).",
MA,Protestant,NA,,,
MA,Theocratic,NA,,,
MA,Antisemitism,NA,,,
MA,Israelite & Hebrew,6,List of resources,"The Torah (first five books of the Bible), Exodus, Chapter 20, the Ten Commandments (c.600 BCE, based on earlier oral tradition) Code of religious commandments; an indication of the cultural values of the ancient Israelites. Background and analysis of the text. (see also http://www.bartleby.com/108/02/20.html and http://www.bibleodyssey.org/en/passages/main-articles/the-decalogue)",
MA,Confucian/Confucianism/Confucius,6,Topic 3: f. The ancient Arabian Peninsula (7th century CE) [6.T3f],Describe the life and teachings of Muhammad (570-c. 632 CE) and the significance of the Qur an as the primary source of Islamic belief.,
MA,Confucian/Confucianism/Confucius,7,List of Resources,"Confucius, The Analects (thought to have been compiled in the 5th century BCE, completed in a final form in the 3rd century CE) Central text of Confucianism; a collection of sayings and philosophical thoughts about virtue and ethics (see also http://classics.mit.edu/Confucius/analects.html)",
MA,Confucian/Confucianism/Confucius,7,"Topic 2: Early East Asian societies, religions, and cultures Ancient China, c. 1600 BCE 500 CE [7.T2b]","Describe important economic, political, and religious developments in early Chinese history and evaluate the ways in which they are similar to or different from the characteristics of societies in other regions of the world.",
MA,Jain/Jainism,NA,,,
MA,Tao/Taoism/Dao/Danish/Lao Tzu/Laozi,7,"Topic 2: Early East Asian societies, religions, and cultures Ancient China, c. 1600 BCE 500 CE [7.T2b]","Describe important economic, political, and religious developments in early Chinese history and evaluate the ways in which they are similar to or different from the characteristics of societies in other regions of the world.",
MA,Shinto/Shintoism,7,Topic 2: East Asia,"Significant ancient societies, religions, and cultures in East Asia Dynasties in ancient China, ancient Japan, ancient Korea, the Mongolian Empire, Confucianism, Taoism, Buddhism, Shintoism",
MA,Zoroastrianism,NA,,,
MA,Bahai/Baha 'i,NA,,,
